bottle,variety,country,description,designation,points,price,province,region_1,region_2,winery,taster_name,taster_twitter_handle
William Fèvre 2006 Les Clos Grand Cru  (Chablis),Chardonnay,France,"What makes a great Chablis grand cru? It's the intensity of flavor, which can be found in this wine. Its green and white fruits are layered with wood spice and an ineffable crispness that allows the wine to show the purity of Chardonnay and the great terroir at the same time.",Les Clos Grand Cru,95,90,Burgundy,Chablis,[EMPTY],William Fèvre,Roger Voss,@vossroger
Harlan Estate 2005 Red (Napa Valley),Bordeaux-style Red Blend,US,"Smells a bit minty and peppery, but once in the mouth, turns ultra-generous in black currant, chocolate-covered mint and spicy cedar flavors. Massive, yet refined and elegant, and even with the firm tannins, grows more charming as it warms in the glass. Very fine quality, and likely to hold for many years.",[EMPTY],95,450,California,Napa Valley,Napa,Harlan Estate,[EMPTY],[EMPTY]
Joseph Phelps 2005 Insignia Red (Napa Valley),Red Blend,US,"This is not a wine for tonight, or next year, or for at least the next six years. It's shut down in tannins, with an astringency that can't be overcome even with decanting, although that won't stop people from opening it before its time. Buried beneath the tannins are well-developed black currant, roasted meat and cedar flavors that define upscale Napa Cab. Really fine and distinguished, a wine to cellar and enjoy for many years.",Insignia,95,200,California,Napa Valley,Napa,Joseph Phelps,[EMPTY],[EMPTY]
Lost Canyon 2007 Widdoes Vineyard Pinot Noir (Russian River Valley),Pinot Noir,US,"Voluptuous, lush, a wine of great power. Packed with cedar-inspired flavors of blackberry and cherry jam, currants, cassis, cola, licorice and spice, wrapped into a texture of velvet and silk. Delicious and compelling. Only 126 cases produced.",Widdoes Vineyard,95,42,California,Russian River Valley,Sonoma,Lost Canyon,[EMPTY],[EMPTY]
William Fèvre 2006 Bougros Côte Bouguerots Grand Cru  (Chablis),Chardonnay,France,"A beautiful wine, a pure expression of ripe but steely Chardonnay. The wine floats onto the palate, with green plums and citrus leading. Then come toast, a mouthwatering acidity and a mineral structure. This wine's complexity just continues to impress.",Bougros Côte Bouguerots Grand Cru,95,80,Burgundy,Chablis,[EMPTY],William Fèvre,Roger Voss,@vossroger
Flora Springs 2005 Trilogy Red (Napa Valley),Bordeaux-style Red Blend,US,"A drop-dead gorgeous red blend that continues Flora Springs' fine streak of Bordeaux-style wines. Full-bodied and dry, it's balanced and rich, with complex flavors of currants, minerals, cedar and spice. The tannins are strong, but ultra-refined. Drink this high-quality wine now and through 2015.",Trilogy,95,65,California,Napa Valley,Napa,Flora Springs,[EMPTY],[EMPTY]
Olivier Leflaive 2006  Bâtard-Montrachet,Chardonnay,France,"This is a bright star in Olivier Leflaive's firmament, a wondrous big, rich wine that is just so finely poised. The structure is dense, rich, fat and full-bodied, a hymn to ripe fruit. Flavors are fruit-driven at this stage, but this is a wine that will develop over many years, if you can resist the urge to indulge its luxuriant tastes now.",[EMPTY],95,310,Burgundy,Bâtard-Montrachet,[EMPTY],Olivier Leflaive,Roger Voss,@vossroger
Oakville East 2005 Exposure Cabernet Sauvignon (Oakville),Cabernet Sauvignon,US,"They call it east, because the grapes are from the Vaca Mountains, and the vineyard faces west. It's a splendid wine, classically proportioned, with rich, thick tannins that have true Napa refinement. The flavors are also classic, suggesting cassis and cedar, with a distinct smack of indescribable minerals. There's a lot of smoky new oak, but it's proportionate to the wine's power. This serious new Napa Cab is great now, and should develop for many years.",Exposure,95,125,California,Oakville,Napa,Oakville East,[EMPTY],[EMPTY]
Janzen 2007 Cloudy's Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,US,"A beautiful, classy Cab, marked by smoky new oak and very ripe blackberry and cassis flavors, with a streak of minerals. The vineyard is in the Vaca Mountains, in the valley's far east. You can taste the sunshine in the wonderful fruitiness, and the tannins are extraordinarily refined, but they're also aggressive. Fine now, with a long decant, but should develop bottle complexity over many years.",Cloudy's Vineyard,95,100,California,Napa Valley,Napa,Janzen,[EMPTY],[EMPTY]
Schramsberg 2005 Brut Sparkling (Sonoma Coast),Sparkling Blend,US,"A brilliant brut, comprised of Pinot Noir and Chardonnay. It displays the qualities of dryness and yeastiness, with complex flavors of limes, vanilla and a touch of raspberry. The mousse is very fine, while the acidity is extraordinarily clean and brisk. Beautiful now, and should age for many years.",Brut,95,70,California,Sonoma Coast,Sonoma,Schramsberg,[EMPTY],[EMPTY]
Testarossa 2008 Diana's Chardonnay (Central Coast),Chardonnay,US,"A best-of-barrels selection from the winery's various vineyards, this is a lush, intricate Chardonnay made in the modern style. It's fantastically rich in pineapple tart flavors, with the sweet, smoky crust, and more acidic citrus notes of Meyer lemons and limes. Oak aging and lees add fortunate layers of buttered toast and cream. Very intricate, with Chablisian dryness and minerality. Now–2014.",Diana's,95,55,California,Central Coast,Central Coast,Testarossa,[EMPTY],[EMPTY]
Au Bon Climat 2007 Santa Barbara Historic Vineyards Collection Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,US,"Amazingly rich and ripe, defining the Bien Nacido cool-climate style. The grapes hung for a long time in this excellent vintage, getting ripe and balanced, and the wine offers dazzling opulence, while preserving vital acidity. Showcases dessert pastry flavors of pineapples, mangoes, buttered toast, buttercream, meringue and honeysuckle, accented with dusty spices. Simply beautiful from first sniff to the last swallow.",Santa Barbara Historic Vineyards Collection Bien Nacido Vineyard,95,30,California,Santa Maria Valley,Central Coast,Au Bon Climat,[EMPTY],[EMPTY]
Au Bon Climat 2007 Santa Barbara Historic Vineyards Collection Sanford & Benedict Vineyard Chardonnay (Santa Ynez Valley),Chardonnay,US,"About as rich and flamboyant as California Chardonnay gets, a wine that blows you away with sheer pyrotechnic wizardry. Massive in grilled pineapples, mangoes, Key lime pie, vanilla honey, crème caramel and dusty spices, accented with perfect acidity.",Santa Barbara Historic Vineyards Collection Sanford & Benedict Vineyard,95,30,California,Santa Ynez Valley,Central Coast,Au Bon Climat,[EMPTY],[EMPTY]
Steven Kent 2007 Ghielmetti Vineyard Clone 4 Cabernet Sauvignon (Livermore Valley),Cabernet Sauvignon,US,"There's a beautiful wine in here, but it's buried under tannins. Also, the fruit is all primary blackberry, blueberry, raspberry and cherry jam, while the oak stands to the side, insistent in vanilla and toast. Nothing has merged, everything is separated. Yet this is a great wine, easily the greatest Cabernet to emerge from Livermore Valley in memory. Beautiful now, and should develop for a decade.",Ghielmetti Vineyard Clone 4,95,100,California,Livermore Valley,Central Coast,Steven Kent,[EMPTY],[EMPTY]
Fulcrum 2008 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,US,"Big and powerful, but nuanced despite its size. It's a dark, extracted wine, filled with wild cherry, raspberry, currant and sandalwood flavors, as well as exotic notes of forest balsam, grilled mushrooms, tamari and dusty Indian spices. Super-complex, it changes with every sip, and should change interestingly over the next six years. The vineyard is in the Petaluma Gap, and argues strongly for that region's future.",Gap's Crown Vineyard,95,52,California,Sonoma Coast,Sonoma,Fulcrum,[EMPTY],[EMPTY]
Poggio Nardone 2001 Riserva  (Brunello di Montalcino),Sangiovese,Italy,"A liquid lullaby more than a wine, this Brunello caresses and smoothes over your senses with amazing intensity and harmonious aromas of cherry-chocolate fudge, almond paste, ginger, balsamic notes, blueberry pie, firewood and vanilla. There's a shroud of cedar and cherry fruit within the wine's unwavering structure and a seemingly endless finish.",Riserva,95,60,Tuscany,Brunello di Montalcino,[EMPTY],Poggio Nardone,[EMPTY],[EMPTY]
Marchesi de' Frescobaldi 2003 Castello di Pomino Vendemmia Tardiva White (Tuscany),White Blend,Italy,"This is a fabulous late harvest tour de force blend of Chardonnay, Pinot Bianco, Pinot Grigio and aromatic Traminer that sees some new oak for extra depth and dimension. The trick here is that fruit comes from a high altitude vineyard so you get bright, crisp acidity beyond those syrupy sweet tones of peach, apricot, marzipan, dried mint and natural rubber. The wine leaves the palate very clean, yet its sweet flavors last a long, long time.",Castello di Pomino Vendemmia Tardiva,95,[EMPTY],Tuscany,Tuscany,[EMPTY],Marchesi de' Frescobaldi,[EMPTY],[EMPTY]
Novy 2005 Syrah (Santa Lucia Highlands),Syrah,US,"Dark and racy, with a Northern Rhône-style aroma of black pepper, cedar and black currants, but there's nothing Rhône-like about the flavor. It's distinctly California, with soft, sweetly ripe tannins bursting with blackberry jam, black currants, anise, vanilla and sweet oak flavors. The wine is fully dry. Absolutely first-rate Syrah.",[EMPTY],95,27,California,Santa Lucia Highlands,Central Coast,Novy,[EMPTY],[EMPTY]
Dow's 1963 Vintage  (Port),Port,Portugal,"Perfectly mature, this Port's tannins have softened over the past 40-plus years, leaving it lushly textured and displaying rich fig and chocolate flavors. Finishes long, picking up a touch of almond to go with the fig, flavors Symington calls “Dow's hallmarks.” Drink now–2015, longer if you prefer very mature wines.",Vintage,95,467,Port,[EMPTY],[EMPTY],Dow's,[EMPTY],[EMPTY]
Faiveley 2005 Clos des Cortons  (Corton),Pinot Noir,France,"One of Faiveley's monopoles (wholly owned vineyards), Clos des Cortons makes powerful wines. That's the case in 2005. This wine towers up, a strong edifice of tannins and big, black fruits. It has all the right elements coming into place, along with weight and some elegance.",Clos des Cortons,95,195,Burgundy,Corton,[EMPTY],Faiveley,Roger Voss,@vossroger
Clos Solène 2013 Harmonie Red (Paso Robles),Rhône-style Red Blend,US,"Thick aromas range from blueberry and other dense black fruits to fudge, concentrated purple flowers and nose-tickling baking spice. The palate on this blend of 62% Grenache, 28% Syrah and 10% Mourvèdre is rich and luxurious, with more blueberries, tarragon, chocolate ganache, black-loam minerality and a Sichuan pepper element that makes the tongue tingle.",Harmonie,95,85,California,Paso Robles,Central Coast,Clos Solène,Matt Kettmann,@mattkettmann
Louis Jadot 2013 Clos Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,France,"Concentrated and powerful, this wine is rich and full in the mouth, with wonderful ripe fruits over the great tannins. It is solid, dark and dense, full of smoky flavors and a rich strawberry flavor. Drink from 2022.",Clos Saint-Jacques Premier Cru,95,208,Burgundy,Gevrey-Chambertin,[EMPTY],Louis Jadot,Roger Voss,@vossroger
Foradori 2012 Morei Teroldego (Vigneti delle Dolomiti),Teroldego,Italy,"Fermented and aged in clay amphorae, this dark, delicious wine opens with earthy aromas of tilled soil, ripe black-skinned fruit, Alpine herbs and a whiff of pine. The concentrated yet almost weightless palate doles out juicy black cherry, blackberry, mineral and anise alongside silky, smooth tannins. The purity of the fruit is striking.",Morei,95,50,Northeastern Italy,Vigneti delle Dolomiti,[EMPTY],Foradori,Kerin O’Keefe,@kerinokeefe
Foxen 2013 John Sebastiano Vineyard Pinot Noir (Sta. Rita Hills),Pinot Noir,US,"This wine's magically layered nose blends graphite, black cherries, dried violets, hints of savory smoke meats and the oddly captivating scent of composting rose petals. From a vineyard on the appellation's eastern edge come a spice rack of flavors, from black peppercorns and hoisin sauce to soy and blackberry fruit.",John Sebastiano Vineyard,95,48,California,Sta. Rita Hills,Central Coast,Foxen,Matt Kettmann,@mattkettmann
Louis Jadot 2013 Clos des Ursules Premier Cru  (Beaune),Pinot Noir,France,"This Beaune bottling has a dense structure that broods through its tannic outer skin. Perfumed red fruits will shortly burst out to give an opulent, rich wine with both great acidity and layers of spice that finish with freshness. Drink from 2021.",Clos des Ursules Premier Cru,95,93,Burgundy,Beaune,[EMPTY],Louis Jadot,Roger Voss,@vossroger
Louis Jadot 2013 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,France,"Severe and austere at this stage, this solid, dark wine has all the weight of a wine from Gevrey, concentrated and densely tannic. It's firm, packed with dark plum fruit and perfumed acidity. It's foursquare, demanding long aging. Drink from 2021",Lavaux Saint-Jacques Premier Cru,95,135,Burgundy,Gevrey-Chambertin,[EMPTY],Louis Jadot,Roger Voss,@vossroger
Goldeneye 2012 The Narrows Vineyard Pinot Noir (Anderson Valley),Pinot Noir,US,"This complex, sophisticated and undeniably delicious wine blends strong flavor components into a harmonious whole. Aromas are lightly smoky and toasty, while flavors emphasize black tea, Bing cherry and sweet vermouth. The texture is firm and fine-grained giving a very smooth mouthfeel, and the finish lingers nicely.",The Narrows Vineyard,95,82,California,Anderson Valley,[EMPTY],Goldeneye,Jim Gordon,@gordone_cellars
Alex Gambal 2013  Charmes-Chambertin,Pinot Noir,France,"Produced from organically grown grapes, this structured wine is complex and still very closed up, with dense tannins and dark fruit. Powerful with dark plum flavors, it is firmly textured and needs plenty of time for aging. Drink from 2020",[EMPTY],95,200,Burgundy,Charmes-Chambertin,[EMPTY],Alex Gambal,Roger Voss,@vossroger
Wayfarer 2013 Wayfarer Vineyard Chardonnay (Fort Ross-Seaview),Chardonnay,US,"A high-acid, weighty and complex white, this vintage is even better than the last, gorgeous in a golden tannish color. Tropical guava and white flowers weave seamlessly through a web of minerality and freshness, without compromising body and texture. This is a delicious wine.",Wayfarer Vineyard,95,80,California,Fort Ross-Seaview,Sonoma,Wayfarer,Virginie Boone,@vboone
Joseph Drouhin 2012 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,France,"This wine has power and firm tannins. Intensely fresh, it offers acidity and red-currant flavors that burst out of the dark, dry core. It's complex, with a touch of spice from wood aging that gives an elegant, delicious aftertaste. Drink from 2019.",Lavaux Saint-Jacques Premier Cru,95,168,Burgundy,Gevrey-Chambertin,[EMPTY],Joseph Drouhin,Roger Voss,@vossroger
Scar of the Sea 2013 Block Q Old Vine Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,US,"This wine's aromas are perfectly pretty but with a sharp edge, blending tight boysenberry, raspberry and red-apple with lilac and scarlet-red rose-petal florality and an anise-peppercorn spice. The palate is full, soft and yet focused, with dried strawberry, plum and red cherries giving way to pencil lead and sage.",Block Q Old Vine Bien Nacido Vineyard,95,60,California,Santa Maria Valley,Central Coast,Scar of the Sea,Matt Kettmann,@mattkettmann
Domaine Méo-Camuzet 2013  Clos de Vougeot,Pinot Noir,France,"Toasty aromas are not enough to smother the intense, rich and concentrated fruitiness of this powerful wine. Structured and with a firm backbone, it is slow in developing. its brooding dark character still very obvious. However, the fruit is all there, waiting to release the burst of red-berry flavors. Drink from 2022.",[EMPTY],95,307,Burgundy,Clos de Vougeot,[EMPTY],Domaine Méo-Camuzet,Roger Voss,@vossroger
Domaine Zind-Humbrecht 2013 Clos Windsbuhl Gewurztraminer (Alsace),Gewürztraminer,France,"Ethereal notes of orange blossom and jasmine lead to richer tones of damask rose underpinned by a lively orange-peel freshness. The palate presents the same delicious juxtaposition of opulence and light-footed ease. Full of life and fragrant, vigorous joy, the wine has flavors that seem to linger forever.",Clos Windsbuhl,95,80,Alsace,Alsace,[EMPTY],Domaine Zind-Humbrecht,Anne Krebiehl MW,@AnneInVino
Pol Roger 2002 Extra Cuvée de Réserve Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,France,"This is a thouroughbred, elegant sparkler. With its delicate acidity, apple and grapefruit flavors, and tense, steely texture, it is an extremely well-blanced wine. Although it is ready to drink now, it could certainly age in bottle for many years.",Extra Cuvée de Réserve Blanc de Blancs Brut,95,135,Champagne,Champagne,[EMPTY],Pol Roger,Roger Voss,@vossroger
Jarvis 2010 Finch Hollow Estate Grown Cave Fermented Chardonnay (Napa Valley),Chardonnay,US,"Unbelievably rich and decadent, this tastes of honey drizzled over crushed ripe pineapples, guavas and pears. Added hints of buttered toast, vanilla bean, caramel and sweet cream come with scads of savory pie spices.",Finch Hollow Estate Grown Cave Fermented,95,95,California,Napa Valley,Napa,Jarvis,[EMPTY],[EMPTY]
Knights Bridge 2009 Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,US,"Dusty tannins and notes of dried herbs give this vigorous young Cabernet a mark of immaturity that strongly suggests time in the cellar, despite flashy blackberry and black currant flavors. The winery has done a great job with fruit from the Dr. Crane Vineyard for several years, and this majestic wine is right up there with the great '07 vintage. Best after 2018.",Beckstoffer Dr. Crane Vineyard,95,135,California,Napa Valley,Napa,Knights Bridge,[EMPTY],[EMPTY]
Viader 2009 Red (Napa Valley),Bordeaux-style Red Blend,US,"Made from 70% Cabernet Sauvignon and 30% Cabernet Franc, it has every hallmark of a young Napa Valley Bordeaux blend. It's dry, smooth and complex in tannins, with balancing acidity and an incredible array of flavors, including blackberry, black currant, cherry, chocolate, dried herb, smoky oak and spice. It has that important but hard-to-define quality of sophistication. It's delicious now, and it should develop in the bottle for at least 10 years.",[EMPTY],95,115,California,Napa Valley,Napa,Viader,[EMPTY],[EMPTY]
Chimney Rock 2009 Elevage Red (Stags Leap District),Bordeaux-style Red Blend,US,"A classic Napa Valley Bordeaux blend, dry, smooth, complex and elegant. Based on Merlot and Cabernet Sauvignon, it's an instant pleaser, from the dryness and mellow texture to the delicious blackberry, cassis, plum, dark chocolate and smoky oak flavors. It will provide wonderful drinking over many years.",Elevage,95,79,California,Stags Leap District,Napa,Chimney Rock,[EMPTY],[EMPTY]
Ramos-Pinto 2011 Vintage  (Port),Port,Portugal,This delicately perfumed wine opens to reveal power combined with elegance. The wine has great ripeness—a soft texture on the surface masking the severe tannins at the center.,Vintage,95,[EMPTY],Port,[EMPTY],[EMPTY],Ramos-Pinto,Roger Voss,@vossroger
Force Majeure 2010 Collaboration Series I Ciel du Cheval Vineyard Red (Red Mountain),Bordeaux-style Red Blend,US,"A tad riper, fuller and richer than the 2009 vintage, this wine is deep, subtle and complex, with a myriad of fruit and mineral flavors. Cassis, olive, fresh herb, toast, caramel and coconut are all in play, balanced and layered. The wine is young, tart and full of promise for the long term; hold at least 10–15 years.",Collaboration Series I Ciel du Cheval Vineyard,95,58,Washington,Red Mountain,Columbia Valley,Force Majeure,Paul Gregutt,@paulgwine 
C. da Silva 2011 Dalva Distinctive Vintage  (Port),Port,Portugal,"Tannic and concentrated, this is a powerful wine from its first moment. Ripe perfumes confirm the wine's richness, while acidity and density show strongly. Power and concentration match big berry fruit and finishing acidity.",Dalva Distinctive Vintage,95,[EMPTY],Port,[EMPTY],[EMPTY],C. da Silva,Roger Voss,@vossroger
Niepoort 2011  Port,Port,Portugal,"Fruit and acidity dominate the initial impression. The wine certainly has power and richness, as it's full in the mouth, juicy and fruity. In the background, there is a darker element, solid and dense, promising long-term aging.",[EMPTY],95,80,Port,[EMPTY],[EMPTY],Niepoort,Roger Voss,@vossroger
Taylor Fladgate 2011 Quinta da Eira Velha Vintage  (Port),Port,Portugal,"Violet perfume, sweet fruit and a rich character make this wine immediately appealing. Delve into it and the tannins emerge, powerful in character. Berries and sweet, ripe plums complete this serious, impressive wine.",Quinta da Eira Velha Vintage,95,[EMPTY],Port,[EMPTY],[EMPTY],Taylor Fladgate,Roger Voss,@vossroger
Quinta de la Rosa 2011 Estate Bottled Vintage  (Port),Port,Portugal,"A densely tannic wine, firm at the center and richly fruity on the outside. It is concentrated, with acidity shooting through the jammy black fruit. It's a finely structured wine, likely to age well, but showing its rich side already.",Estate Bottled Vintage,95,90,Port,[EMPTY],[EMPTY],Quinta de la Rosa,Roger Voss,@vossroger
Quinta do Vallado 2011 Vintage  (Port),Port,Portugal,"Smooth and rich, concentrated and dense. Dusty tannins power the dark fruit and sweet texture. Black plums and acidity match the dry, tannic structure.",Vintage,95,110,Port,[EMPTY],[EMPTY],Quinta do Vallado,Roger Voss,@vossroger
Croft 2011 Vintage  (Port),Port,Portugal,"This shows very sweet fruit that's ripe, dense and already delicious. That doesn't mean the tannins don't bring out the firmness at the core of this powerful wine. It is integrated, packed with black plum flavors, and full bodied. For long-term aging.",Vintage,95,93,Port,[EMPTY],[EMPTY],Croft,Roger Voss,@vossroger
Quinta do Passadouro 2011 Vintage  (Port),Port,Portugal,"Big, bold and fruity, this wine shows richness, opulence and swathes of black plum fruit that cushions the structure. Powerful and fruity now, with long aging potential shown by the ample tannins and acid.",Vintage,95,70,Port,[EMPTY],[EMPTY],Quinta do Passadouro,Roger Voss,@vossroger
Schramsberg 2005 Reserve Sparkling (North Coast),Sparkling Blend,US,"Very fine and complex, this is a great sparkling wine, but one that needs lots of time in the bottle. A classic brut blended with Pinot Noir and Chardonnay, it's rich with flavors of strawberries, limes, vanilla and honey, with lots of smoky toast and yeastiness. Above all, the mousse is exceptionally refined and pure.",Reserve,95,110,California,North Coast,North Coast,Schramsberg,[EMPTY],[EMPTY]
Cálem 2011  Port,Port,Portugal,"A solid, ripe, fruity wine, rich in tannins that blend well into the texture. Black plum skins, damsons and berry fruit are all present, revealing the natural freshness of the vintage as well as great potential. A wine with a long life.",[EMPTY],95,[EMPTY],Port,[EMPTY],[EMPTY],Cálem,Roger Voss,@vossroger
Donkey & Goat 2010 Perli Vineyard Syrah (Mendocino Ridge),Syrah,US,"This Perli is a gem, a gorgeous reminder that California Syrah can be a liquified representation of beauty. Carrying violet overtones, the wine offers just-picked raspberry and a pronounced entry of peppery spice. Soft it has a long finish and complex subtleties approaching magic. Sit this wine in your cellar if you dare—it's so good to drink now.",Perli Vineyard,95,38,California,Mendocino Ridge,[EMPTY],Donkey & Goat,Virginie Boone,@vboone
Sequoia Grove 2009 Oak Knoll Ranch Lamoreaux Vineyards Vintner Select Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,US,"If you're looking for sheer flash in Napa Valley Cabernet, try this one. It's expensive, but worth the price. It dazzles for soft lusciousness, and the depth and complexity of blackberries, black currants, cassis and chocolate, as well as the perfect integration of new French oak. Yet the wine, which contains a splash of Malbec, is dry and balanced in acidity and velvety tannins. Great now, and will continue to please through 2022.",Oak Knoll Ranch Lamoreaux Vineyards Vintner Select,95,90,California,Napa Valley,Napa,Sequoia Grove,[EMPTY],[EMPTY]
Shoup 2007 Red (Columbia Valley (WA)),Bordeaux-style Red Blend,US,"Made by Long Shadows winemaker Gilles Nicault, this wine, along with the 2008 and 2009 vintages, were released together. This is the most mature—a five-grape, Bordeaux-style blend. It's a beautifully integrated, floral and dusty wine, with contoured, sculpted fruit. Plums and cherries dominate, with dustings of cocoa powder, coffee and a hint of hazelnut. The wine is graceful and profound, with superb length and finesse.",[EMPTY],95,95,Washington,Columbia Valley (WA),Columbia Valley,Shoup,Paul Gregutt,@paulgwine 
Eichinger 2014 Heiligenstein Reserve Riesling (Kamptal),Riesling,Austria,"The nose already promises pleasure. Layers of grapefruit and mirabelle, lemon and tangerine, apple and honey present a series of contradictions—not to mention delicious flavors—creating immense and irresistible tension. This is only going to get better if you can refrain from drinking it all. Pure thrill and lots of concentrated, zesty promise.",Heiligenstein Reserve,95,35,Kamptal,[EMPTY],[EMPTY],Eichinger,Anne Krebiehl MW,@AnneInVino
Emmerich Knoll 2014 Ried Schütt Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Austria,"An overtone of leesy yeast quickly gives way to lemony freshness, rounded out by hints of yellow plum and peach. Citrus also continues to be the focus on the palate: fresh zest of ripe lemons and Meyer lemons just edged by peppery spice. This is taut and very linear, streamlined, concentrated and slender but still tightly wound. This will relax into more spice and fruit with a little while in bottle. Right now it is a zesty, evocative mouthful of promise.",Ried Schütt Smaragd,95,53,Wachau,[EMPTY],[EMPTY],Emmerich Knoll,Anne Krebiehl MW,@AnneInVino
F X Pichler 2014 Loibner Loibenberg Smaragd Riesling (Wachau),Riesling,Austria,"The nose is a tease of subtle mandarin and lemon zest, promising but not giving away very much at all. The alluring juiciness of the palate hints at small, yellow mirabelle plums but as of yet merely plays at the surface. Underneath it all is a solid powerhouse bursting with Seville orange, freshness and precision. Another one to keep, guard and treasure for a precious but enlightening soirée. The endless length reinforces that promise. Drink 2018–2025.",Loibner Loibenberg Smaragd,95,62,Wachau,[EMPTY],[EMPTY],F X Pichler,Anne Krebiehl MW,@AnneInVino
F X Pichler 2014 Loibner Steinertal Smaragd Riesling (Wachau),Riesling,Austria,"Bergamot and lemon, grapefruit and tangerine: students of citriculture would find much to explore—perfumers too. As a drinker you just want to dive into this inviting, fragrant pool of refreshment. There is a powdery edge too, and quite some texture, despite the most slender of bodies. This represents depth rather than power and is a ticket straight to a citrussy Riesling heaven. With age this will get even better.",Loibner Steinertal Smaragd,95,57,Wachau,[EMPTY],[EMPTY],F X Pichler,Anne Krebiehl MW,@AnneInVino
Franz Hirtzberger 2014 Honivogl Smaragd Grüner Veltliner (Wachau),Grüner Veltliner,Austria,"Chervil, lovage, watercress and yeast swirl headily on the nose. The palate subsumes these in a tight, taut, savory core of immense energy and power. There is muscle and tone, power and punch. If you are looking for a superlatively spicy, long-lived Grüner, this is the one to get. Underneath you will find notions of stone and earth that anchor this firmly. The finish is clean and long. Drink 2017–2020.",Honivogl Smaragd,95,90,Wachau,[EMPTY],[EMPTY],Franz Hirtzberger,Anne Krebiehl MW,@AnneInVino
Lynmar 2013 Kanzler Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,US,"From mighty Kanzler comes this ripe, densely tannic wine, plush like candy, it's a celebration of black cherry, dried herbs and vanilla oak, rewarding in its nod to hedonism in balance. The minerality is pronounced and persistent, allowing the wine to breathe. Drink now through 2023.",Kanzler Vineyard,95,70,California,Sonoma Coast,Sonoma,Lynmar,Virginie Boone,@vboone
Mastroberardino 2008 Radici Antonio Riserva  (Taurasi),Aglianico,Italy,"Named after the late Antonio Mastroberardino, this stunning wine opens with aromas of underbrush, dark cherry, tobacco, exotic spice and blue flower. The radiant palate seamlessly combines structure and finesse, delivering mature black cherry, juicy raspberry, white pepper, clove and licorice while bright acidity and firm, polished tannins provide balance. Hold for added complexity. Drink 2018–2033.",Radici Antonio Riserva,95,80,Southern Italy,Taurasi,[EMPTY],Mastroberardino,Kerin O’Keefe,@kerinokeefe
Aleksander 2011 Red (Paso Robles),Bordeaux-style Red Blend,US,"From a label owned by former L.A. Laker Sasha Vujacic, this Merlot-dominant wine delivers aromas of bricks, dust, black cherries, dried oregano and cedar, the sense of ripe but serious fruit lingering in the background. The energetic, grippy palate is reminiscent of Vietnamese coffee—creamy yet properly bitter, rich and flavorful—with blueberry and tart blackberry fruit proving lush and welcoming.",[EMPTY],95,75,California,Paso Robles,Central Coast,Aleksander,Matt Kettmann,@mattkettmann
Contrade di Taurasi - Lonardo 2010  Taurasi,Aglianico,Italy,"New leather, black cherry, underbrush, sweet baking spice and a whiff of white pepper are just some of the aromas you'll discover on this stunning red. The structured, delicious palate doles out mature black cherry, raspberry, licorice, Mediterranean herb and a note of exotic spice alongside a backbone of polished, refined tannins. It already seamlessly combines power and finesse but will continue to develop complexity over the next decade. Drink 2018–2028.",[EMPTY],95,50,Southern Italy,Taurasi,[EMPTY],Contrade di Taurasi - Lonardo,Kerin O’Keefe,@kerinokeefe
Chalk Hill 2008 Musque Sauvignon Blanc (Chalk Hill),Sauvignon Blanc,US,"Expensive, but brilliant. At the forefront of California Sauvignon Blanc. Shows bright and clean acidity framing intense tangerine, lime and honey flavors, as well as complications from oak. Yet it finishes bone dry and elegant. Delicious and compelling, this wine lifts Sauvignon Blanc into entirely new territory.",Musque,95,40,California,Chalk Hill,Sonoma,Chalk Hill,[EMPTY],[EMPTY]
Taylor Fladgate 1964 Very Old Single Harvest  (Port),Port,Portugal,"Properly old gold in color, this is a wine from a single year, aged in casks. It's poised between amazing fruit and a wonderful velvet texture that is shot through with acidity. A feeling of lightness comes from the acidity that gives great freshness as well as complex flavors. It's ready to drink.",Very Old Single Harvest,95,588,Port,[EMPTY],[EMPTY],Taylor Fladgate,Roger Voss,@vossroger
